String,Minimum Days,Medium,23,No,https://practice.geeksforgeeks.org/problems/f4d22b1f9d62e8bee0ff84e9fa51dc66eb5005ec/1?page=3&difficulty%5B%5D=1&category%5B%5D=Strings&sortBy=submissions
String,Remove Consecutive Characters,Medium,23,No,https://www.interviewbit.com/problems/remove-consecutive-characters/
String,Bulls and Cows,Medium,23,No,https://www.interviewbit.com/problems/bulls-and-cows/
String,Atoi,Medium,24,No,https://www.interviewbit.com/problems/atoi/
String,Valid Ip Addresses,Hard,24,No,https://www.interviewbit.com/problems/valid-ip-addresses/
String,Integer To Roman,Hard,25,No,https://www.interviewbit.com/problems/integer-to-roman/
String,Minimum characters to be added at front to make string palindrome,Hard,25,No,https://practice.geeksforgeeks.org/problems/minimum-characters-to-be-added-at-front-to-make-string-palindrome/1?page=1&difficulty%5B%5D=2&category%5B%5D=Strings&sortBy=submissions
String,Wildcard string matching,Hard,26,No,https://practice.geeksforgeeks.org/problems/wildcard-string-matching1126/1?page=1&difficulty%5B%5D=2&category%5B%5D=Strings&sortBy=submissions
String,Longest Palindromic Substring in Linear Time,Hard,26,No,https://practice.geeksforgeeks.org/problems/longest-palindromic-substring-in-linear-time/1?page=1&difficulty%5B%5D=2&category%5B%5D=Strings&sortBy=submissions
String,Numbers with one absolute difference,Hard,27,No,https://practice.geeksforgeeks.org/problems/numbers-with-one-absolute-difference2416/1?page=1&difficulty%5B%5D=2&category%5B%5D=Strings&sortBy=submissions
String,Stringoholics,Hard,27,No,https://www.interviewbit.com/problems/stringoholics/
String,Power of 2,Hard,28,No,https://www.interviewbit.com/problems/power-of-2/
String,Justified Text,Hard,28,No,https://www.interviewbit.com/problems/justified-text/
,,,,,#VALUE!
Searching and Sorting,Searching an element in a sorted array,Easy,29,No,https://practice.geeksforgeeks.org/problems/who-will-win-1587115621/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Last index of One,Easy,29,No,https://practice.geeksforgeeks.org/problems/last-index-of-15847/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Count the Zeros,Easy,29,No,https://practice.geeksforgeeks.org/problems/count-the-zeros2550/1?page=1&difficulty%5B%5D=0&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Elements in the Range,Easy,29,No,https://practice.geeksforgeeks.org/problems/elements-in-the-range2834/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Bubble Sort,Easy,30,No,https://practice.geeksforgeeks.org/problems/bubble-sort/1?page=1&difficulty%5B%5D=0&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Insertion Sort,Easy,30,No,https://practice.geeksforgeeks.org/problems/insertion-sort/1?page=1&difficulty%5B%5D=0&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,First and last occurrences of X,Easy,30,No,https://practice.geeksforgeeks.org/problems/first-and-last-occurrences-of-x2041/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Count zeros in a sorted matrix,Easy,30,No,https://practice.geeksforgeeks.org/problems/count-zeros-in-a-sorted-matrix/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Array Subset of another array,Easy,31,No,https://practice.geeksforgeeks.org/problems/array-subset-of-another-array2317/1?page=1&difficulty%5B%5D=0&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Selection Sort,Easy,31,No,https://practice.geeksforgeeks.org/problems/selection-sort/1?page=1&difficulty%5B%5D=0&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Floor in a Sorted Array,Easy,31,No,https://practice.geeksforgeeks.org/problems/floor-in-a-sorted-array-1587115620/1?page=1&difficulty%5B%5D=0&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Radix Sort,Easy,31,No,https://practice.geeksforgeeks.org/problems/radix-sort/1?page=3&difficulty%5B%5D=0&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Search in a matrix,Easy,32,No,https://practice.geeksforgeeks.org/problems/search-in-a-matrix17201720/1?page=1&difficulty%5B%5D=0&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Bitonic Point,Easy,32,No,https://practice.geeksforgeeks.org/problems/maximum-value-in-a-bitonic-array3001/1?page=1&difficulty%5B%5D=0&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Two Repeated Elements,Easy,32,No,https://practice.geeksforgeeks.org/problems/two-repeated-elements-1587115621/1?page=1&difficulty%5B%5D=0&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Count More than n/k Occurences,Easy,32,No,https://practice.geeksforgeeks.org/problems/count-element-occurences/1?page=1&difficulty%5B%5D=0&category%5B%5D=Searching&sortBy=submissions
